#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED,COUNTRY
F,DDBD57,Janus,I-AVVR,VR,Y,Y,Italy
F,00FFFF,LS8,D-3832,VR,Y,Y,Germany
I,4B4BFC,Discus,HB-1877,VR,Y,Y,Switzerland
F,DD4E80,SF-25,OY-XVR,VR,Y,Y,Denmark
F,DD9FBF,LS-6,D-5860,VR,Y,Y,Germany
F,DD838C,Grob Club Astir,OO-ZVR,VR,N,Y,Belgium
F,DD4F89,Europa XS,G-CFVR,VR,Y,Y,United Kingdom
F,DDB256,Arcus-T,D-KLVR,VR,Y,Y,Germany
F,C07DE5,Stemme S10 VT,C-GVRO,VR,Y,Y,Canada
I,3E7B2F,Arcus T,VR,VR,Y,Y,Unknown
I,3FF63C,Pipistrel Virus,D-MIVR,VR,Y,Y,Germany
F,DDDF15,ASW-22 E,OH-966,VR,N,Y,Unknown
F,D0049E,LS-10st,D-KKVR,VR,Y,Y,Germany
F,DD8A39,Janus B provvisorio,I-AVVR,VR,Y,Y,Italy
I,484802,LS-4b,PH-989,VR,Y,Y,Netherlands
I,7C6CBA,H36 Dimona,VH-VRG,VRG,Y,Y,Australia
I,7C6CCD,Ventus B,VH-VRZ,VRZ,Y,Y,Australia
F,DDE4F2,Various,D-SEPP,VS,Y,Y,Germany
I,DD8CF7,Std. Cirrus,G-DDVS,VS,N,Y,United Kingdom
I,3E6DFC,ASH 31 Mi,D-KGVS,VS,Y,Y,Germany
I,405417,Std Cirrus,G-DDVS,VS,Y,Y,United Kingdom
F,A2A868,ASW-27B,N270VS,VS,Y,Y,United States
I,484A34,ASK-21,PH-1378,VS,Y,Y,Netherlands
F,D014DE,LS4a,F-CHBL,VS,Y,Y,France
I,3ED050,ASH26E,D-KTVS,VS,Y,Y,Germany
F,DDD5FB,Rallye 235,EC-HVS,VS,Y,Y,Spain
F,DDD2D9,ASW-27,ZS-GVS,VS,Y,Y,South Africa
F,D00E07,ASW 19B,D-2656,VS,Y,Y,Germany
F,DD8926,Motorplane,PH-DVS,VS,N,Y,Netherlands
F,201494,Banjo,D-MGVS,VS,Y,Y,Germany
I,45E2D3,ASW-24,OY-XVS,VS,Y,Y,Denmark
F,44062F,DuoDiscus XL,OE-5438,VS1,Y,Y,Austria
F,DD9135,DG 500,D-1173,VS2,Y,Y,Germany
F,DF0F6C,Grob 103A Twin II Acro,C-GVSA,VSA,Y,Y,Canada
I,C07DF1,Grob 103 Acro,C-GVSA,VSA,Y,Y,Canada
F,DF0F6D,Grob Std. Astir III,C-GVSJ,VSJ,N,Y,Canada
I,C07DFA,Grob 102 IIIs,C-GVSJ,VSJ,Y,Y,Canada
I,C07DFC,Blanik L-23,C-GVSL,VSL,Y,Y,Canada
F,DF0F6A,Let L-23 Super Blanik,C-GVSL,VSL,N,Y,Canada
F,6ACBC5,VSM-40 Demant,OK-6203,VSM,Y,Y,Czech Republic
F,DE04E4,Grob Astir CS-77,C-GVST,VST,N,Y,Canada
I,40402A,Vans RV-6a,G-RVST,VST,Y,Y,United Kingdom
I,484E85,LibelleStd.,PH-483,VT,Y,Y,Netherlands
F,3B29AE,Ventus bT,D-KAZZ,VT,Y,Y,Germany
F,DD0147,Ventus bT,D-KAZZ,VT,N,Y,Germany
F,DF185A,Ventus 2cxT,D-KEVT,VT,Y,Y,Germany
F,DD91FF,ASK13,F-CBVT,VT,Y,Y,France
I,4AD676,LS-3,SE-USV,VT,N,Y,Sweden
I,4B4F38,Arcus,HB-2705,VT,Y,Y,Switzerland
F,DDA9CE,Janus,F-CHVU,VU,N,Y,France
I,4ADAB9,WT-9 Dynamic,SE-VUY,VUY,Y,Y,Sweden
F,D009BF,Ventus-2ax,D-2111,VV,Y,Y,Germany
F,D00229,H36 Dimona,D-KCVV,VV,Y,Y,Germany
F,DD9ACA,Janus B,F-CMVV,VV,Y,Y,France
F,D0039A,Ventus cM,D-KKCH,VV,N,Y,Germany
F,DF148C,Duo Discus,D-7613,VV,Y,Y,Germany
I,49B09A,"Ventus b, 16,6",OK-6475,VV,Y,Y,Czech Republic
I,C07BB0,ASG-29,C-GUVV,VV,Y,Y,Canada
I,C07E4B,Twin Astir II,C-GVVM,VVM,Y,Y,Canada
F,DD9953,Hornet,D-1570,VW,N,Y,Germany
F,D00DCE,EB29R,VH-UVW,VW,Y,Y,Australia
F,DF0E18,ASW-20,D-1759,VW,Y,Y,Germany
F,DD8995,Discus bT,PH-1426,VW,Y,Y,Netherlands
I,4404CA,DG-300,OE-5354,VW,Y,Y,Austria
I,484AC4,Discus bT,PH-1426,VW,Y,Y,Netherlands
F,DF2295,DG1000,VWR,VWR,Y,Y,Unknown
F,DD82E7,Grob Astir CS-77,OO-ZVX,VX,N,Y,Belgium
I,484954,LS3WL,PH-685,VX,Y,Y,Netherlands
F,D00FF3,Glider,F-CGYD,VX,Y,Y,France
F,DD8374,LS-3,PH-685,VX,N,Y,Netherlands
F,3ED055,JS1C,D-KTVX,VX,Y,Y,Germany
I,3E7456,ASG29E,D-KJGG,VX,Y,Y,Germany
F,DDDE42,DISCUS CS,OY-XVX,VX,Y,Y,Denmark
F,DD103F,Mini Nimbus,SE-TVX,VX,Y,Y,Sweden
I,383C98,Glider,F-CGYD,VX,Y,Y,France
I,3EFBA8,ASG-29,D-6929,VX,N,Y,Germany
F,DDFD3C,MS893,F-BSVX,VX,Y,Y,France
F,DDB254,LS3-17,PH-685,VX,Y,Y,Netherlands
I,C07E83,Twin Astir I,C-GVXQ,VXQ,Y,Y,Canada
F,DD4EDE,ASK-21,OY-XVY,VY,N,Y,Denmark
I,D0048E,JS3TJ18m,D-KUVY,VY,Y,Y,Germany
F,DD5072,Jantar Std. 3,SP-3453,VY,Y,Y,Poland
F,DD5302,ASK-21,F-CIVY,VY,Y,Y,France
I,C821AA,JS-1 Revelation,ZK-GVZ,VZ,Y,Y,New Zealand
I,3E708C,ASG29e 18m,D-KHUY,VZ,Y,Y,Germany
I,3E704E,LAK-17AT,D-KHSO,VZ,Y,Y,Germany
I,3D1173,TB9,D-EEVZ,VZ,Y,Y,Germany
I,4B4D97,ASH-26 E,HB-2288,VZ,Y,Y,Switzerland
F,DD829E,Janus B,PH-1252,VZ,Y,Y,Netherlands
I,3EE482,LS-8 18,D-1003,VZ,Y,Y,Germany
F,4854DE,ASG29E,D-KHUY,VZ,Y,Y,Germany
F,DDDE08,ASK-21,OY-XVZ,VZ,Y,Y,Denmark
F,DDD2F9,LS1d,F-CDVZ,VZ,Y,Y,France
F,DDFDAF,Astir CS,PH-547,VZ1,Y,Y,Netherlands
F,DD821D,Robin DR 400,OO-VZZ,VZZ,N,Y,Belgium
I,3E7EF2,Ventus,D-KNGS,VcM,Y,Y,Germany
F,DF16B8,Ls1 f,D-2225,W,Y,Y,Germany
F,DDAB99,ASW-24,D-0197,W,N,Y,Germany
F,DDE266,Glasfluegel 304,OK-2304,W,N,Y,Czech Republic
F,DDEB83,Ventus c,OK-3833,W,N,Y,Czech Republic
F,DDFD7E,Duo Discusio,D-KIMO,W,Y,Y,Germany
F,DD8EB6,Ventus bT,D-KAWE,W,N,Y,Germany
F,DDC263,LS4,D-COCA,W,Y,Y,Germany
F,DDBCD7,Antares 18s,D-KAIB,W,N,Y,Germany
F,465BD2,Ventus-3T,OH-1026,W,Y,Y,Unknown
F,DF0389,Ventus 2,D-6780,W,N,Y,Germany
F,D009BC,Antares 18T,D-KAIB,W,Y,Y,Germany
F,DD867A,HPH 304C,D-2100,W,Y,Y,Germany
F,DDDEF3,DG-1000,D-0905,W05,Y,Y,Germany
I,F70667,ASW-24,D-6087,W1,Y,Y,Germany
I,3EE224,Kestrel,D-0397,W1,Y,Y,Germany
F,DF205C,PIK-20D,D-9812,W1,Y,Y,Germany
F,DDEC10,Arcus T,HB-2504,W1,N,Y,Switzerland
F,D01602,Duo Discus XL,PH-1661,W1,Y,Y,Netherlands
I,4863D0,Duo Discus XL,PH-1661,W1,Y,Y,Netherlands
F,DD9592,ASK-21,D-1540,W1,Y,Y,Germany
F,DDDEE3,LS-4,D-0390,W1,Y,Y,Germany
F,D02CAC,LS8,D-8123,W1,Y,Y,Germany
F,DD9F80,ASH-26 E,D-KEWI,W1,Y,Y,Germany
I,4B4E6F,Arcus T,HB-2504,W1,Y,Y,Switzerland
F,DD8429,LS-3a,D-7884,W1,Y,Y,Germany
F,406CD9,Silent 2 Targa,G-CIKD,W17,Y,Y,United Kingdom
I,C02293,SZD 48-1 Jantar Standard 2,C-FNCK,W2,Y,Y,Canada
F,DDE304,Grob Jeans Astir,EC-HKB,W2,Y,Y,Spain
F,DDAB96,LS-1 f,D-5887,W2,N,Y,Germany
F,DDABDA,DG-101G Elan,OE-5361,W2,Y,Y,Austria
I,A31F64,ASG-29,N300AT,W2,Y,Y,United States
I,4867F8,DG-1001 Club Neo,PH-1722,W2,Y,Y,Netherlands
I,4B4EA9,ASG-32 El,HB-2562,W2,Y,Y,Switzerland
I,C072A7,Mosquito,C-GRKW,W2,Y,Y,Canada
F,D0042E,Duo Discus xt,D-KWSZ,W2,Y,Y,Germany
F,4B4BCB,Astir Jeans,D-3826,W2,Y,Y,Germany
I,3ED7A0,ASH26e,D-KWPS,W2,Y,Y,Germany
F,DD8EEF,Duo Discus,D-1772,W2,Y,Y,Germany
I,A7C39D,AS 33Es,N6LX,W2,Y,Y,United States
F,DDDB26,ASW-22,SE-UUZ,W22,N,Y,Sweden
I,4B51C0,ASW-22,HB-3353,W22,N,Y,Switzerland
F,DF21B8,ASW-24,N224CG,W24,Y,Y,United States
F,D012B1,ASW27,G-CJCM,W27,Y,Y,United Kingdom
F,DDEB49,Duo Discus xlt,D-KWEI,W29,Y,Y,Germany
F,DDA25D,Janus,HB-3081,W3,N,Y,Switzerland
F,DDD558,Ka-6 cr,D-5590,W3,Y,Y,Germany
F,D02822,DuoDiscus,D-7624,W3,Y,Y,Germany
I,4B4BB5,Discus b,HB-1806,W3,Y,Y,Switzerland
F,DDACD9,DG-100G Elan,OE-5270,W3,Y,Y,Austria
F,DDF006,LS 4 WL,D-6199,W3,Y,Y,Germany
F,DDC076,Duo Discus,D-7624,W3,Y,Y,Germany
F,D01DC3,JS3 RES,D-KCLM,W3,Y,Y,Germany
F,D01D43,Discus CS,PH-1384,W3,Y,Y,Netherlands
F,A1E066,Ventus 3F,N22TW,W3,Y,Y,United States
F,DD8DCA,LS-4,D-6199,W3,N,Y,Germany
I,48470F,Discus,PH-1384,W3,Y,Y,Netherlands
F,D003F1,Twin Astir II,D-7985,W4,Y,Y,Germany
I,4B4C54,Discus b,HB-1965,W4,Y,Y,Switzerland
F,DD4FDF,ASW-20,OY-XKF,W4,N,Y,Denmark
F,DD97A8,LS-4,D-2931,W4,Y,Y,Germany
F,DDD917,DG-505,G-CLVJ,W4,Y,Y,United Kingdom
I,3E66B7,Ventus cT,D-KECD,W4,Y,Y,Germany
F,DD8DB2,ASK-21,PH-1306,W5,Y,Y,Netherlands
I,FF4ACC,201 Libelle,N1055W,W5,Y,Y,United States
F,DDA9F7,Ka-8,D-1749,W5,Y,Y,Germany
I,C04974,PW-5,C-GBVF,W5,Y,Y,Canada
I,484B25,ASK-21,PH-1306,W5,Y,Y,Netherlands
F,DDD22A,ASK-23,D-5050,W50,Y,Y,Germany
I,C0314D,Glasfluegel 304S,C-FSRK,W6,Y,Y,Canada
I,4B5182,Discus 2b,HB-3291,W6,Y,Y,Switzerland
F,DDC36C,K8,D-0162,W62,Y,Y,Germany
I,4B5243,Discus 2b,HB-3484,W7,Y,Y,Switzerland
I,C08742,LAK-17 A,C-GZFT,W7,N,Y,Canada
F,0D5337,LS 7-WL,D-5337,W7,Y,Y,Germany
F,D01904,Discus 2,D-9707,W7,Y,Y,Germany
I,AC951B,Js3-18 RES,N91JA,W7,Y,Y,United States
I,4B515D,LS-8 18,HB-3254,W7,Y,Y,Switzerland
I,DDB6B7,LS 7-WL,D-5337,W7,Y,Y,Germany
F,DD4F47,LS 7,D-5337,W7,Y,Y,Germany
F,D00486,DG-300,D-4307,W7,Y,Y,Germany
F,DDC072,Discus 2,D-9707,W7,Y,Y,Germany
I,484B80,Discus,PH-1443,W7,Y,Y,Netherlands
F,D01C69,Schempp-Hirth Discus CS,PH-1443,W7,Y,Y,Netherlands
F,A38DC6,Discus 2B,N328TW,W7,Y,Y,United States
F,D015E3,LS8-18,PH-1439,W8,Y,Y,Netherlands
I,405E82,ASG 29E,G-CRJW,W8,Y,Y,United Kingdom
I,484B57,LS-8 18,PH-1439,W8,Y,Y,Netherlands
F,DDD91C,LS-4,D-0568,W8,Y,Y,Germany
F,D00160,LS-8 18,OK-0808,W8,Y,Y,Czech Republic
F,DD8778,LS-4,D-3578,W8,N,Y,Germany
F,DDBB1C,LS-8 18,PH-1439,W8,N,Y,Netherlands
F,D00425,LS-8,D-1646,W8,Y,Y,Germany
I,4868DB,HPH-304S Shark,PH-1734,W9,Y,Y,Netherlands
F,D03267,HPH-304S Shark,PH-1734,W9,Y,Y,Netherlands
F,DDB092,ASK-21,D-3490,W90,Y,Y,Germany
F,D02638,Ventus 2cM,D-KMWA,WA,Y,Y,Germany
F,D00DCA,Arcus-M,D-KJRM,WA,Y,Y,Germany
F,DDD298,ASW15,OO-YWA,WA,Y,Y,Belgium
F,DF03A9,Arcus T,D-KFWA,WA,Y,Y,Germany
F,DDADD7,DuoDiscus T,D-KFDS,WA,Y,Y,Germany
I,3EC080,DG 808 B,D-KNWA,WA,Y,Y,Germany
F,D01B8E,Std. Libelle 201B,D-1096,WA,Y,Y,Germany
F,DDA933,ASK-21,G-CWAI,WA1,Y,Y,United Kingdom
F,DDD5A7,Motorplane,G-WAD1,WA1,N,Y,United Kingdom
F,DDD5A8,Motorplane,G-WAD2,WA2,N,Y,United Kingdom
F,DDD5A9,Motorplane,G-WAD3,WA3,N,Y,United Kingdom
I,A3BF0C,Glider,N340TW,WAY,Y,Y,United States
I,A055A8,ASW-20,N120WB,WB,Y,Y,United States
