devices/device_type,devices/device_id,AIRCRAFT_MODEL,REGISTRATION,CN,devices/tracked,devices/identified,devices/aircraft_type,COUNTRY
I,3E010A,EC 135,D-HRPA,POL,Y,Y,4,Germany
I,3DFA59,BK 117,D-HPBD,POL,Y,Y,4,Germany
I,3DF8EE,EC 135,D-HONE,POL,Y,Y,4,Germany
F,DDC0D8,Duo Discus xlt,D-KSCR,POL,Y,Y,1,Germany
I,3E02E1,EC 120,D-HSHD,POL,Y,Y,4,Germany
I,3DF743,BK 117,D-HNWT,POL,Y,Y,4,Germany
I,3DFA5A,BK 117,D-HPBE,POL,Y,Y,4,Germany
I,3DFB93,EC 135,D-HPNF,POL,Y,Y,4,Germany
I,3DF741,BK 117,D-HNWR,POL,Y,Y,4,Germany
I,3DF742,BK 117,D-HNWS,POL,Y,Y,4,Germany
F,3DD6DE,EC 135,D-HBPE,POL,Y,Y,4,Germany
I,3DD794,BK 117,D-HBWU,POL,Y,Y,4,Germany
I,3DD795,BK 117,D-HBWV,POL,Y,Y,4,Germany
I,3DE584,BK 117,D-HHEA,POL,Y,Y,4,Germany
I,3DD796,BK 117,D-HBWW,POL,Y,Y,4,Germany
I,3DD6D1,EC 135,D-HBPH,POL,Y,Y,4,Germany
I,3DD6D0,EC 135,D-HBPG,POL,Y,Y,4,Germany
I,3DD797,BK 117,D-HBWX,POL,Y,Y,4,Germany
I,3DD6CF,EC 135,D-HBPF,POL,Y,Y,4,Germany
I,3E010C,BK 117,D-HRPC,POL,Y,Y,4,Germany
I,3DF040,EC 135,D-HLFS,POL,Y,Y,4,Germany
I,3DD6CD,EC 135,D-HBPD,POL,Y,Y,4,Germany
I,3DD6CC,EC 135,D-HBPC,POL,Y,Y,4,Germany
I,3DD798,BK 117,D-HBWY,POL,Y,Y,4,Germany
I,3DD799,BK 117,D-HBWZ,POL,Y,Y,4,Germany
I,3DD6CB,EC 135,D-HBPB,POL,Y,Y,4,Germany
I,3E010D,BK 117,D-HRPD,POL,Y,Y,4,Germany
I,3DA0DC,Vulcanair P68C,D-GHEA,POL,Y,Y,2,Germany
I,3DD577,EC 135,D-HBBZ,POL,Y,Y,4,Germany
I,3E010B,EC 135,D-HRPB,POL,Y,Y,4,Germany
I,3E0A46,EC 135,D-HVBY,POL,Y,Y,4,Germany
I,3E0A3B,EC 135,D-HVBN,POL,Y,Y,4,Germany
I,3E0228,BK 117,D-HSAA,POL,Y,Y,4,Germany
I,3E037E,EC 135,D-HSNE,POL,Y,Y,4,Germany
I,3DD576,EC 135,D-HBBY,POL,Y,Y,4,Germany
I,3E0A38,EC 135,D-HVBK,POL,Y,Y,4,Germany
I,3E037D,EC 135,D-HSND,POL,Y,Y,4,Germany
I,3DDD6D,EC 135,OE-BXR,POL,Y,Y,4,Austria
I,3E02E0,EC 120,D-HSHC,POL,Y,Y,4,Germany
I,3DD45E,EC 120,D-HARE,POL,Y,Y,4,Germany
I,3DFA5D,BK 117,D-HPBH,POL,Y,Y,4,Germany
I,3E02E4,EC 120,D-HSHG,POL,Y,Y,4,Germany
I,4404A7,EC 135,OE-BXP,POL,Y,Y,4,Austria
F,DDDBE4,ASW-20,LV-EQM,POL,Y,Y,1,Argentina
F,DD0B03,EC 135,D-HVBC,POL,Y,Y,4,Germany
F,DD0B02,EC 135,D-HVBJ,POL,Y,Y,4,Germany
F,DD0AFF,EC 135,D-HVBP,POL,Y,Y,4,Germany
F,DD0AFD,EC 135,D-HVBM,POL,Y,Y,4,Germany
F,DD0A25,EC 135,D-HRPA,POL,Y,Y,4,Germany
F,DD0A22,EC 135,D-HNWU,POL,Y,Y,4,Germany
F,DD077E,EC 135,D-HVBV,POL,Y,Y,4,Germany
F,DD0574,BK 117,D-HBWY,POL,Y,Y,4,Germany
F,DD0570,BK 117,D-HBWV,POL,Y,Y,4,Germany
I,4404B5,AS 350,OE-BXN,POL,Y,Y,4,Austria
I,4404B6,Bell 206,OE-BXO,POL,Y,Y,4,Austria
F,DD0536,EC 135,D-HMVP,POL,Y,Y,4,Germany
F,DD02AE,EC 135,D-HBPA,POL,Y,Y,4,Germany
I,440620,AS 350,OE-BXM,POL,Y,Y,4,Austria
F,DD0B0F,EC 135,D-HVBT,POL,Y,Y,4,Germany
F,DD8359,EC 135,D-HBPD,POL,Y,Y,4,Germany
F,DD0B12,EC 135,D-HVBA,POL,Y,Y,4,Germany
F,DD0B15,EC 135,D-HVBQ,POL,Y,Y,4,Germany
F,DD0C2E,Bell 206,OE-BXS,POL,Y,Y,4,Austria
F,DD0C11,EC 135,OE-BXQ,POL,Y,Y,4,Austria
F,DD0C5F,Bell 206,OE-BXP,POL,Y,Y,4,Austria
I,440027,AS 350,OE-BXH,POL,Y,Y,4,Austria
I,DD0E0F,EC 120,D-HSHS,POL,Y,Y,4,Germany
F,DD0E13,EC 135,D-HVBL,POL,Y,Y,4,Germany
F,DD0B2B,EC 135,D-HVBD,POL,Y,Y,4,Germany
F,DD0B2A,EC 135,D-HVBS,POL,Y,Y,4,Germany
F,DD0E20,EC 135,D-HVBF,POL,Y,Y,4,Germany
F,DD0B25,EC 135,D-HVBI,POL,Y,Y,4,Germany
F,DD83C1,EC 135,D-HBPC,POL,Y,Y,4,Germany
F,DD0B23,EC 135,D-HVBR,POL,Y,Y,4,Germany
F,DD0B21,EC 135,D-HVBK,POL,Y,Y,4,Germany
F,DD0B18,EC 135,D-HVBX,POL,Y,Y,4,Germany
F,DD0B17,EC 135,D-HVBW,POL,Y,Y,4,Germany
F,DD0B13,EC 135,D-HVBE,POL,Y,Y,4,Germany
F,44074E,AS 350,OE-BXI,POL,Y,Y,4,Austria
F,DD02A8,EC 135,D-HBPF,POL,Y,Y,4,Germany
F,DD835C,EC 135,D-HBPF,POL,Y,Y,4,Germany
I,3E02F0,EC 120,D-HSHB,POL,Y,Y,4,Germany
F,D0330C,ASW-20,LV-EQM,POL,Y,Y,1,Argentina
F,D02427,EC 135,D-HVBJ,POL,Y,Y,4,Germany
F,DF163C,EC 135,PH-PXB,POL,Y,Y,4,Netherlands
F,DF1647,EC 135,PH-PXC,POL,Y,Y,4,Netherlands
F,484A93,EC 135,PH-PXC,POL,Y,Y,4,Netherlands
F,DF167F,EC 135,PH-PXA,POL,Y,Y,4,Netherlands
I,484A92,EC 135,PH-PXB,POL,Y,Y,4,Netherlands
I,484A96,EC 135,PH-PXF,POL,Y,Y,4,Netherlands
F,484A95,EC 135,PH-PXE,POL,Y,Y,4,Netherlands
F,484A94,EC 135,PH-PXD,POL,Y,Y,4,Netherlands
I,44085F,AS 350,OE-BXL,POL,Y,Y,4,Austria
I,44C1F5,PA-18 Super Cub,OO-POU,POU,Y,Y,2,Belgium
I,4B291C,PA-18 Super Cub,HB-POU,POU,Y,Y,2,Switzerland
F,24859C,Luscombe 8E,G-BPOU,POU,Y,Y,2,United Kingdom
I,4B291F,PA-28,HB-POX,POX,Y,Y,2,Switzerland
F,DDC38F,PA-28,HB-POX,POX,Y,Y,2,Switzerland
O,48CE41,Cessna 152,SP-POZ,POZ,Y,Y,2,Poland
I,48BDD5,Cessna 152,SP-POZ,POZ,Y,Y,2,Poland
I,3EDCE5,HK36 Super Dimona,D-KYPP,PP,Y,Y,1,Germany
F,DDC233,Ka-8,F-CERG,PP,Y,Y,1,France
I,4B51E2,Duo Discus,HB-3387,PP,Y,Y,1,Switzerland
F,D01CC5,PIK-20 E,C-GFRM,PP,Y,Y,1,Canada
F,485C3B,ASW-19,PH-1626,PP,Y,Y,1,Netherlands
F,000716,Arcus M,D-KZPP,PP,Y,Y,1,Germany
F,DDC0A4,ASW-24,OH-791,PP,Y,Y,1,Unknown
F,DDC1F1,ASW-15,OO-ZPP,PP,Y,Y,1,Belgium
F,DDDDCC,ASW-15,OO-ZPP,PP,Y,Y,1,Belgium
F,3EDF89,Arcus M,D-KZPP,PP,Y,Y,1,Germany
F,DDEE95,Arcus T,D-KWPP,PP,Y,Y,1,Germany
F,D00A36,Ventus 2cxM,D-KBPP,PP,Y,Y,1,Germany
F,D03425,LS-3,SP-3978,PP,Y,Y,1,Poland
F,DDE252,DG-300,D-1872,PP,Y,Y,1,Germany
F,3E77ED,Ventus cM,D-KKPP,PP,Y,Y,1,Germany
F,D00C98,DG-808 B,D-KBVF,PP,Y,Y,1,Germany
F,DDA42E,ASW-24,D-3587,PP,Y,Y,1,Germany
F,DD0091,LS-4,D-2360,PP,Y,Y,1,Germany
O,297BCD,LS-3,SP-3978,PP,Y,Y,1,Poland
F,DD9CBB,LS-3,D-7878,PP,Y,Y,1,Germany
I,C80B30,PA-25 Pawnee,ZK-PPA,PPA,Y,Y,2,New Zealand
F,DD94FE,Duo Discus,HB-3387,PPA,Y,Y,1,Switzerland
O,030882,Balloon,HA-863,PPB,Y,Y,6,Hungary
F,DF03F3,ASK-21,F-CPPC,PPC,Y,Y,1,France
I,505C93,DA40,OM-PPD,PPD,Y,Y,2,Slovakia
I,4B2927,PA-28,HB-PPF,PPF,Y,Y,2,Switzerland
I,4B2928,PA-28,HB-PPG,PPG,Y,Y,2,Switzerland
I,4B292C,PA-28,HB-PPK,PPK,Y,Y,2,Switzerland
F,DDE661,Socata Rallye 235CA-M,F-GPPQ,PPQ,Y,Y,2,France
I,4B2935,PA-28,HB-PPT,PPT,Y,Y,2,Switzerland
I,C06DE0,Cessna 172,C-GPPV,PPV,Y,Y,2,Canada
F,DD9687,Janus B,F-CEPY,PPY,Y,Y,1,France
O,3E3D4B,SZD-30 Pirat,LY-GPQ,PQ,Y,Y,1,Lithuania
F,DDFE4A,Janus B,F-CEPQ,PQ,Y,Y,1,France
I,4B293F,PA-28,HB-PQD,PQD,Y,Y,2,Switzerland
I,4B2944,PA-28,HB-PQI,PQI,Y,Y,2,Switzerland
F,FFA51F,PA-18 Super Cub,HB-PQK,PQK,Y,Y,2,Switzerland
I,4B2947,PA-28,HB-PQL,PQL,Y,Y,2,Switzerland
F,DDF0A6,Avro Vulcan,D-KXXE,PR,Y,Y,2,Germany
F,DDB584,Twin Astir II,ZK-GPR,PR,Y,Y,1,New Zealand
F,3E6854,ASG-29E,D-KESA,PR,Y,Y,1,Germany
I,3E7CC6,Twin Astir III,D-KMLI,PR,Y,Y,1,Germany
F,DDDFB1,ASW-24,PH-1531,PR,Y,Y,1,Netherlands
F,DDEC71,Arcus M,D-KFPR,PR,Y,Y,1,Germany
F,DD9DC3,Hornet,D-7605,PR,Y,Y,1,Germany
F,4025B5,PA-25 Pawnee,G-BFPR,PR,Y,Y,2,United Kingdom
F,DDBEFA,ASK-21 MI,D-KRFP,PR,Y,Y,1,Germany
F,DDF079,ASH-26 E,D-KMPR,PR,Y,Y,1,Germany
F,DDB594,Twin Astir III,D-KMLI,PR,Y,Y,1,Germany
F,3EC523,DG-808 C,D-KPPR,PR,Y,Y,1,Germany
F,3D2893,PA-28,D-ENPR,PR,Y,Y,2,Germany
I,3E6D5F,L 13 SEH Vivat,D-KGPR,PR,Y,Y,1,Germany
F,DDA6B6,DG-300,SP-3993,PR,Y,Y,1,Poland
F,4AD612,SZD-48-3 Jantar Std 3,SE-UPR,PR,Y,Y,1,Sweden
F,DDD979,ASW-20,OH-572,PR,Y,Y,1,Unknown
F,4B4D60,Ventus ct,HB-2233,PR,Y,Y,1,Switzerland
I,48507B,ASW-24,PH-1531,PR,Y,Y,1,Netherlands
I,4B4E72,ASG-29,HB-2507,PR,Y,Y,1,Switzerland
F,DDFD9C,ASK-21,D-6753,PR,Y,Y,1,Germany
F,DD9155,Ventus ct,OK-0308,PR,Y,Y,1,Czech Republic
I,4B2961,PA-28,HB-PRL,PRL,Y,Y,2,Switzerland
I,050FFF,EuroFox,OM-APRO,PRO,Y,Y,3,Slovakia
F,DF0F98,PA-18 Super Cub,HB-PRT,PRT,Y,Y,2,Switzerland
F,DD5298,SZD-48 Jantar Std 2,LV-DPE,PS,Y,Y,1,Argentina
F,D004B7,JS-3 18M,D-KBPS,PS,Y,Y,1,Germany
F,DDD806,DG-400,OY-XPS,PS,Y,Y,1,Denmark
F,3E754C,Arcus M,D-KJPS,PS,Y,Y,1,Germany
F,DDAB45,Libelle Std,OE-5759,PS,Y,Y,1,Austria
F,DDBC3A,DG-400,OY-XPS,PS,Y,Y,1,Denmark
I,3EC280,Arcus M,D-KOPS,PS,Y,Y,1,Germany
F,DDDD02,DG-400,OK-4959,PS,Y,Y,1,Czech Republic
F,D004A4,LS-8 18,D-6463,PS,Y,Y,1,Germany
F,DDDF3D,LS-1 f,D-9498,PS,Y,Y,1,Germany
F,D01D08,ASG-29E,D-KSPS,PS,Y,Y,1,Germany
I,3E71D3,Discus bT,D-KIHN,PS,Y,Y,1,Germany
F,DDAEE6,Discus t,LN-GPS,PS,Y,Y,1,Norway
F,DF2433,ASW-27,N227SD,PS,Y,Y,1,United States
F,3E5CB4,ASH-31 MI,D-KAHO,PS,Y,Y,1,Germany
F,405EB1,ASW-27,G-CJOV,PS,Y,Y,1,United Kingdom
F,DDEF15,HPH 304S Shark,F-CPSA,PS,Y,Y,1,France
F,DD9B9E,Discus t,D-KEPS,PS,Y,Y,1,Germany
F,DD99E5,ASK-21,D-3766,PS,Y,Y,1,Germany
F,39989B,HPH 304S Shark,F-CPSA,PS,Y,Y,1,France
F,DDDADA,ASK-21,D-6949,PS,Y,Y,1,Germany
F,DF0D26,Arcus T,D-8481,PS,Y,Y,1,Germany
F,DDDCA4,LS-4,D-1365,PS,Y,Y,1,Germany
F,DDE49F,Glasflugel 304,OH-642,PS,Y,Y,1,Unknown
I,A1FC96,ASW-27,N227SD,PS,Y,Y,1,United States
F,D02CBA,Arcus M,D-KOPS,PS2,Y,Y,1,Germany
I,505E01,SportCruiser,OM-PSA,PSA,Y,Y,2,Slovakia
I,4B2971,PA-28,HB-PSB,PSB,Y,Y,2,Switzerland
F,DD9A0A,Discus 2c,D-KPPK,PSI,Y,Y,1,Germany
F,DDB28F,Pegase,F-CGSJ,PSJ,Y,Y,1,France
O,C774F0,PA-25 Pawnee,N7198Z,PSS,Y,Y,2,United States
F,DD85DC,LS-1 c,D-1983,PT,Y,Y,1,Germany
I,3EFEBC,Glasflugel 304,D-7717,PT,Y,Y,1,Germany
F,3ECA6D,Arcus M,D-KRPT,PT,Y,Y,1,Germany
F,DDDD8C,PIK-20 E,OH-607,PT,Y,Y,1,Unknown
I,00A900,Ventus,ZS-GPT,PT,Y,Y,1,South Africa
F,3FF651,FM250 Vampire,D-MYPT,PT,Y,Y,3,Germany
F,DD99B3,LS-1 c,D-0450,PT,Y,Y,1,Germany
F,D00714,Janus C,F-CHPT,PT,Y,Y,1,France
F,3E6AF4,DG-800,D-KFRW,PT,Y,Y,1,Germany
O,7CAE4F,JS-3 18M RES,VH-8PT,PT,Y,Y,1,Australia
F,428972,MS-893 Commodore,RF-0055,PTC,Y,Y,2,Russia
I,3D925A,Diamond DA42,D-GBRE,PTO,Y,Y,2,Germany
I,3DC640,Diamond DA42,D-GVIE,PTO,Y,Y,2,Germany
I,3D9CE6,Diamond DA42,D-GFRA,PTO,Y,Y,2,Germany
I,3DBC00,Diamond DA42,D-GRLG,PTO,Y,Y,2,Germany
I,3DA051,Diamond DA42,D-GGYR,PTO,Y,Y,2,Germany
I,3DB661,Diamond DA42,D-GHPX,PTO,Y,Y,2,Germany
I,3DAFB2,Diamond DA42,D-GMUC,PTO,Y,Y,2,Germany
I,3DCFFF,Diamond DA42,D-GZAD,PTO,Y,Y,2,Germany
I,3DD1BD,Diamond DA42,D-GZRH,PTO,Y,Y,2,Germany
I,3DC727,Diamond DA42,D-GVRB,PTO,Y,Y,2,Germany
I,38C59B,Motorplane,F-PTUN,PTU,Y,Y,2,France
F,DDAA99,DG-200,D-2596,PU,Y,Y,1,Germany
F,DDDB37,LS-6,D-8931,PU,Y,Y,1,Germany
F,DDF01A,SZD-55,HB-3459,PU,Y,Y,1,Switzerland
F,DF2227,LS-4,D-9015,PU,Y,Y,1,Germany
F,DDF05B,Discus 2c,OY-PUX,PU,Y,Y,1,Denmark
F,DDE3C5,Astir CS-77,OK-4899,PU,Y,Y,1,Czech Republic
O,2F8F78,PW-5,LV-EMH,PU,Y,Y,1,Argentina
I,4B522A,SZD-55,HB-3459,PU,Y,Y,1,Switzerland
I,4B29A5,PA-28,HB-PUB,PUB,Y,Y,2,Switzerland
F,DDADA3,SZD-50 Puchacz,D-3742,PUC,Y,Y,1,Germany
F,DD851E,SZD-50 Puchacz,D-3631,PUC,Y,Y,1,Germany
F,DE05AE,PA-25 Pawnee,D-EPUG,PUG,Y,Y,2,Germany
F,3EC59C,Twin Shark,D-KPUI,PUI,Y,Y,1,Germany
F,DDE014,Cirrus Std,F-CEVC,PV,Y,Y,1,France
F,DD9975,ASK-21,F-CIPV,PV,Y,Y,1,France
F,49B0DA,Nimbus 2 C,OK-6898,PV,Y,Y,1,Czech Republic
O,1E90FC,Nimbus 2 C,OK-6898,PV,Y,Y,1,Czech Republic
I,C808B6,Discus,ZK-GPV,PV,Y,Y,1,New Zealand
F,3E61C6,Ventus 2cxM,F-VERO,PV,Y,Y,1,France
F,DDD8FA,Astir Club,OH-657,PV,Y,Y,1,Unknown
F,D00441,SZD-24 Foka,SP-3980,PV,Y,Y,1,Poland
F,DDA45E,Duo Discus,D-2312,PV,Y,Y,1,Germany
F,DDF98C,LAK-19 T,F-CJPV,PV,Y,Y,1,France
F,D01F11,Arcus M,D-KRPK,PV,Y,Y,1,Germany
F,DDEA9D,ASW-28,OY-XPV,PV,Y,Y,1,Denmark
F,DDEBB0,ASW-28 18,OH-1028,PV,Y,Y,1,Unknown
F,DDAE76,Nimbus 2 C,D-6691,PVC,Y,Y,1,Germany
F,3EFABA,Nimbus 2 C,D-6691,PVC,Y,Y,1,Germany
F,DF0409,ASK-21,F-CVVP,PVP,Y,Y,1,France
I,C06E7C,Cirrus SR20,C-GPVV,PVV,Y,Y,2,Canada
F,DDA55F,ASW-24,D-3624,PW,Y,Y,1,Germany
F,00C6F6,DG-808 B,D-KCBS,PW,Y,Y,1,Germany
I,C085A5,DG-1000,C-GYPW,PW,Y,Y,1,Canada
I,484694,Discus bT,PH-1194,PW,Y,Y,1,Netherlands
F,DDAA5A,Discus bT,PH-1194,PW,Y,Y,1,Netherlands
F,3E7A98,ASH-26 E,D-KLPW,PW,Y,Y,1,Germany
F,3ECFF1,ASG-29E,D-KTSB,PW,Y,Y,1,Germany
I,AAE1EB,DG-800,N800AP,PW,Y,Y,1,United States
F,DF0E1E,LS-1 f,OY-XPW,PW,Y,Y,1,Denmark
O,6AC889,PW-6,OK-3751,PW,Y,Y,1,Czech Republic
F,DD9858,LS-6,D-6262,PW,Y,Y,1,Germany
F,3E6164,DG-808 B,D-KCBS,PW,Y,Y,1,Germany
F,DDC1D7,PW-5,LV-EMR,PW,Y,Y,1,Argentina
F,DF0AED,LS-7,D-7102,PW,Y,Y,1,Germany
F,DDB1C3,DG-400,D-KBRA,PW,Y,Y,1,Germany
O,5699B4,PW-5,N555MW,PW5,Y,Y,1,United States
O,C784A8,PW-5,N598PW,PW5,Y,Y,1,United States
F,D0026A,PW-5,D-9651,PW5,Y,Y,1,Germany
F,D00973,PW-6,SP-3947,PW6,Y,Y,1,Poland
F,3E61A1,EB 28,D-KCEB,PWR,Y,Y,1,Germany
F,DD4E3C,LS-4,OY-XPX,PX,Y,Y,1,Denmark
F,DF0CCF,Grob G109,G-OSPX,PX,Y,Y,1,United Kingdom
F,DD8F10,Twin Astir II,D-0819,PX,Y,Y,1,Germany
F,D02BBA,LS-4,OY-XPX,PX,Y,Y,1,Denmark
I,A09CC0,Twin Astir II,N139BG,PX,Y,Y,1,United States
F,D003BF,ASG-32 MI,D-KKPX,PX,Y,Y,1,Germany
F,DDA592,Discus,D-6612,PX,Y,Y,1,Germany
O,24E21C,SZD-30 Pirat,SP-2835,PX,Y,Y,1,Poland
F,DDD4F0,Janus B,F-XXPX,PX,Y,Y,1,France
F,4B5193,DG-800,HB-3308,PX,Y,Y,1,Switzerland
F,3EC529,HPH 304S Shark,D-KPPX,PX,Y,Y,1,Germany
I,3EC285,DG-800,D-KOPX,PX,Y,Y,1,Germany
F,484A91,EC 135,PH-PXA,PXA,Y,Y,4,Netherlands
F,D000EE,PA-25 Pawnee,VH-PXI,PXI,Y,Y,2,Australia
F,DF2271,PA-28,ZS-PXN,PXN,Y,Y,2,South Africa
I,0089F0,PA-28,ZS-PXN,PXN,Y,Y,2,South Africa
I,AA8325,Cirrus Std,N777BD,PY,Y,Y,1,United States
F,401720,PA-25 Pawnee,G-AVPY,PY,Y,Y,2,United Kingdom
I,4B4834,Glasflugel H301,HB-909,PY,Y,Y,1,Switzerland
F,DDC222,Phoenix,F-JSSJ,PY,Y,Y,3,France
F,DD9A2E,Astir Jeans,D-7641,PY,Y,Y,1,Germany
F,3EF7DC,LAK-17 A,D-5957,PY,Y,Y,1,Germany
I,39F05C,WT9 Dynamic,F-JDPY,PY,Y,Y,3,France
F,D02705,Arcus M,D-KEPY,PY,Y,Y,1,Germany
F,D0314B,ASH-26 E,D-KLPY,PY,Y,Y,1,Germany
F,DDD871,DG-1000,F-CMPY,PY,Y,Y,1,France
F,DDE4AA,ASW-20,D-4326,PY,Y,Y,1,Germany
F,DD9A92,PA-18 Super Cub,OY-RPY,PY,Y,Y,2,Denmark
F,DDEB22,LAK-17 A,D-5957,PY,Y,Y,1,Germany
F,DDB77A,ASK-13,VH-GPY,PY,Y,Y,1,Australia
F,C311D5,Libelle Std,D-7205,PY,Y,Y,1,Germany
F,DDE38B,PIK-20 B,G-DDLJ,PY3,Y,Y,1,United Kingdom
F,DF1691,SF-28,F-CEYC,PYC,Y,Y,1,France
I,C06ECA,Cessna 150,C-GPYV,PYV,Y,Y,2,Canada
I,AD1BE7,SZD-54 Perkoz,N9439G,PZ,Y,Y,1,United States
F,4AD61A,DG-1000,SE-UPZ,PZ,Y,Y,1,Sweden
I,A05B3F,Ventus c,N122BF,PZ,Y,Y,1,United States
I,A4B4F0,Pegase,N101CX,PZ,Y,Y,1,United States
F,DD5258,SZD-54 Perkoz,G-PCGC,PZ,Y,Y,1,United Kingdom
F,DD8EBB,SZD-50 Puchacz,D-6630,PZ,Y,Y,1,Germany
F,DD9EF8,SZD-48-3 Jantar Std 3,SP-4044,PZ,Y,Y,1,Poland
F,3E72AF,Ventus 2ct,D-KIPZ,PZ,Y,Y,1,Germany
I,7C2095,ASK-13,VH-GPZ,PZ,Y,Y,1,Australia
F,D0161B,LAK-17B FES,OM-4701,PZ,Y,Y,1,Slovakia
F,DDD34D,SZD-50 Puchacz,LV-ERW,PZ,Y,Y,1,Argentina
F,DDAFCA,Pilatus B4,D-4489,PZ,Y,Y,1,Germany
F,DDD954,DG-300,SP-4002,PZ,Y,Y,1,Poland
F,DDEE8B,DG-808 B,D-KIYL,PZ,Y,Y,1,Germany
I,C06ED3,Cessna 182,C-GPZE,PZE,Y,Y,2,Canada
I,0C9876,PA-28,ZS-PZM,PZM,Y,Y,2,South Africa
O,DDDA8C,SZD-30 Pirat,HA-PZS,PZS,Y,Y,1,Hungary
I,C06EE4,Cessna 172,C-GPZV,PZV,Y,Y,2,Canada
I,C06EE8,Piper PA-22 Tripacer,C-GPZZ,PZZ,Y,Y,2,Canada
F,3E7297,Discus 2cT,D-KIPB,Pb,Y,Y,1,Germany
F,DD94A8,Astir Jeans,D-2547,Pb,Y,Y,1,Germany
F,A22FAA,ASW-24 E,N24WR,Pi,Y,Y,1,United States
F,A35625,JS-3 18M RES,N314EV,Pi,Y,Y,1,United States
F,D00D65,PIK-20 B,D-2786,PiK,Y,Y,1,Germany
F,3EEB79,PIK-20 B,D-2786,PiK,Y,Y,1,Germany
F,D009BB,Ventus 2cxM,D-KPIT,Pit,Y,Y,1,Germany
F,39764F,Mini Nimbus,OK-3368,Plk,Y,Y,1,Czech Republic
I,6AB008,Drone/UAV,P-OK123,Pok,Y,Y,5,North Korea
O,8A1184,Drone/UAV,P-OK123,Pok,Y,Y,5,North Korea
I,A8D672,ASG-29,N669JB,Pp,Y,Y,1,United States
O,24E2A0,PW-6,SP-3881,Pw6,Y,Y,1,Poland
F,D0135A,Twin Shark,OK-3042,Q,Y,Y,1,Czech Republic
F,A6023F,PIK-20 E,N4867Q,Q,Y,Y,1,United States
O,32DA1D,Blanik,OK-4701,Q,Y,Y,1,Czech Republic
I,3E7AD9,Quintus,D-KLSJ,Q,Y,Y,1,Germany
F,3ED2CF,Ventus 3M,D-KUUH,Q,Y,Y,1,Germany
F,DDAE54,Speed Astir II,D-3500,Q,Y,Y,1,Germany
I,A0FD2E,Ventus 2cM,N163DR,Q,Y,Y,1,United States
F,D00155,LS-3,VH-GQI,Q1,Y,Y,1,Australia
I,AABBDD,ASW-15,OK-2694,Q1,Y,Y,1,Czech Republic
F,49B0AC,JS-3 18M RES,OK-2025,Q1,Y,Y,1,Czech Republic
F,D00CE1,JS-3 18M,OK-2025,Q1,Y,Y,1,Czech Republic
F,DDBD22,Astir CS,D-7291,Q2,Y,Y,1,Germany
F,D00BEB,DG-1000,D-KUAX,Q2,Y,Y,1,Germany
F,DDD4B0,Janus Ce,F-CGQQ,Q2,Y,Y,1,France
F,7C726B,LS-3,VH-WVX,Q2,Y,Y,1,Australia
F,DDFDAE,ASW-15,D-8655,Q3,Y,Y,1,Germany
I,3E6C14,Stemme S-10,D-KGCY,Q4,Y,Y,1,Germany
I,48D12A,ASW-19,SP-4129,Q5,Y,Y,1,Poland
I,405908,Discus,G-CFHR,Q5,Y,Y,1,United Kingdom
F,DD4F54,Discus,G-CFHR,Q5,Y,Y,1,United Kingdom
F,D0152C,SF-25,F-CAQA,QA,Y,Y,1,France
F,D000F0,ASK-13,F-CPQA,QA,Y,Y,1,France
I,3D0E34,Cessna 172,D-EDQA,QA,Y,Y,2,Germany
I,4B4AB1,Nimbus 2 C,HB-1546,QB,Y,Y,1,Switzerland
F,DD829F,Nimbus 4DT,D-KMQB,QB,Y,Y,1,Germany
F,D01970,Janus B,F-CPQC,QC,Y,Y,1,France
F,4B0C32,DR-400,HB-EQC,QC,Y,Y,2,Switzerland
F,7C20A3,Mosquito,VH-GQD,QD,Y,Y,1,Australia
F,DDDA14,SZD-50 Puchacz,VH-XQD,QD,Y,Y,1,Australia
F,DDEC69,Antares 18 S,HB-3456,QE,Y,Y,1,Switzerland
F,DDE667,Ka-8,F-CPQE,QE,Y,Y,1,France
I,C06F5B,Cessna 150,C-GQEK,QEK,Y,Y,2,Canada
F,DDAE63,Libelle Club,D-8205,QF,Y,Y,1,Germany
I,C06F81,Cessna 172,C-GQFW,QFW,Y,Y,2,Canada
F,DDDB61,HK36 Super Dimona,F-CHQG,QG,Y,Y,1,France
F,DDB3AA,Ventus,VH-FQG,QG,Y,Y,1,Australia
F,D02C1B,ASW-24,VH-XQH,QH,Y,Y,1,Australia
F,DDDBFE,Janus C,F-CGQH,QH,Y,Y,1,France
F,DDE313,Janus CM,F-CGQI,QI,Y,Y,1,France
F,C06FC0,Bellanca Citabria,C-GQIH,QIH,Y,Y,2,Canada
I,4B4BC7,LS-4,HB-1824,QK,Y,Y,1,Switzerland
F,DDE82A,A60 Fauconnet,F-CCQK,QK,Y,Y,1,France
F,DF0AB9,ASK-21 MI,VH-NQK,QK,Y,Y,1,Australia
O,29B43F,SZD-9 Bocian,LY-GQL,QL,Y,Y,1,Lithuania
F,DDED5F,Ventus 2cxT,HB-2514,QL,Y,Y,1,Switzerland
I,3951BB,Janus Ce,F-CGQL,QL,Y,Y,1,France
I,4B4E79,Ventus 2cxT,HB-2514,QL,Y,Y,1,Switzerland
I,4B4E43,Duo Discus xlt,HB-2460,QM,Y,Y,1,Switzerland
F,DDE677,WT9 Dynamic,F-JUQM,QM,Y,Y,3,France
