devices/device_type,devices/device_id,AIRCRAFT_MODEL,REGISTRATION,CN,devices/tracked,devices/identified,devices/aircraft_type,COUNTRY
O,475BD8,Ikarus C42 B,D-MFSS,JF1,Y,Y,3,Germany
F,3D1CF8,PA-28,D-EJFK,JFK,Y,Y,2,Germany
I,3ECC68,ASH-25 MI,D-KSJG,JG,Y,Y,1,Germany
I,A805D7,Discus 2cFES,N616JG,JG,Y,Y,1,United States
F,DF01B9,ASW-20,C-GCTN,JG,Y,Y,1,Canada
F,DD52A6,LS-4,LV-ENY,JG,Y,Y,1,Argentina
I,A43241,JS-3 18M,N37JG,JG,Y,Y,1,United States
F,DDD25B,Phoebus,OO-ZJG,JG,Y,Y,1,Belgium
F,4B517F,LS-8,HB-3288,JG,Y,Y,1,Switzerland
I,A570A5,Discus 2c,N616JG,JG,Y,Y,1,United States
I,406A5C,ASW-28 18,G-COPP,JG,Y,Y,1,United Kingdom
F,A9B6EE,JS-3 18M,N725JG,JG,Y,Y,1,United States
F,3D12CC,UFO,D-EFJG,JG,Y,Y,6,Germany
F,3ED454,AS 33,D-KVJG,JG,Y,Y,1,Germany
I,A62D65,Cessna 152,N49769,JG,Y,Y,2,United States
F,DDED6C,ASG-29E,D-KJGS,JG,Y,Y,1,Germany
F,A7085C,Discus 2c,N552RM,JG,Y,Y,1,United States
F,3ED99C,Ventus 3M,D-KXJG,JG,Y,Y,1,Germany
F,DDA569,Twin Astir III,D-3695,JG,Y,Y,1,Germany
F,2A6F4D,HPH 304S Shark,D-KPJG,JG,Y,Y,1,Germany
O,2AB64B,Ka-8,G-CJGB,JGB,Y,Y,1,United Kingdom
F,DDE474,Ka-8,G-CJGD,JGD,Y,Y,1,United Kingdom
I,405660,ASW-15,G-DJGG,JGG,Y,Y,1,United Kingdom
F,38B15B,Arcus M,F-CJGG,JGG,Y,Y,1,France
F,DDA93A,ASK-21,G-CJGJ,JGJ,Y,Y,1,United Kingdom
I,405616,ASK-21,G-CJGJ,JGJ,Y,Y,1,United Kingdom
O,3AF06F,Pioneer 300,F-JJGR,JGR,Y,Y,2,France
F,4070DB,Apis 2,G-CJGT,JGT,Y,Y,1,United Kingdom
F,405DE5,Mini Nimbus,G-CJGU,JGU,Y,Y,1,United Kingdom
F,DDBD10,DG-800,D-8384,JH,Y,Y,1,Germany
F,DF20C3,DG-100,D-0640,JH,Y,Y,1,Germany
F,D00ED2,Discus 2,D-4474,JH,Y,Y,1,Germany
F,DDEB13,HPH 304S Shark,D-KHJH,JH,Y,Y,1,Germany
F,DDB18D,Ka-8,F-CFTC,JH,Y,Y,1,France
F,06DDA9,SZD-55,OE-5712,JH,Y,Y,1,Austria
F,DDEE1B,Ventus 2ct,OE-9696,JH,Y,Y,1,Austria
F,DDB0F5,DG-500,F-CHJH,JH,Y,Y,1,France
F,D00C00,Ventus 2cM,D-KIJH,JH,Y,Y,1,Germany
I,465BE0,miniLAK FES,OH-1040,JH,Y,Y,1,Unknown
F,DD90E2,ASH-25,D-3334,JH,Y,Y,1,Germany
F,DDEDA3,ASW-27,D-6817,JH,Y,Y,1,Germany
F,7C23E5,Pegase,VH-HDJ,JH,Y,Y,1,Australia
I,39639B,Ventus 2ct,F-CIJH,JH,Y,Y,1,France
F,3F05F9,LS-3,D-9750,JH,Y,Y,1,Germany
F,DDFAA0,SF-28,F-CFJH,JH,Y,Y,1,France
F,DDA9B4,SZD-55,OE-5712,JH,Y,Y,1,Austria
F,4B51AE,ASH-25,D-3334,JH,Y,Y,1,Germany
F,DD9C79,Kestrel,D-3703,JH,Y,Y,1,Germany
F,7C1FAB,Libelle Club,VH-GJH,JH,Y,Y,1,Australia
F,49B0BB,Ventus 3M,OK-2024,JH,Y,Y,1,Czech Republic
F,DDABB1,LS-8,OO-YJH,JH,Y,Y,1,Belgium
F,D02153,Discus 2cT,OM-1402,JH,Y,Y,1,Slovakia
F,DD9393,SZD-22 Mucha Standard,OE-0898,JH,Y,Y,1,Austria
F,DDEC5D,Arcus M,D-KJHB,JHB,Y,Y,1,Germany
F,4065FA,Cirrus Std,G-EJHH,JHH,Y,Y,1,United Kingdom
F,DDD374,Cirrus Std,G-EJHH,JHH,Y,Y,1,United Kingdom
O,DD4F8E,Libelle Std,G-CJHJ,JHJ,Y,Y,1,United Kingdom
I,4059AA,Ka-6 e,G-CJHL,JHL,Y,Y,1,United Kingdom
F,DDA885,Discus,G-CJHM,JHM,Y,Y,1,United Kingdom
F,405C3E,Astir Jeans,G-CJHN,JHN,Y,Y,1,United Kingdom
F,D01361,ASW-19,G-CJHS,JHS,Y,Y,1,United Kingdom
F,405EE3,DG-200,G-CJHW,JHW,Y,Y,1,United Kingdom
F,DDC358,SZD-41 Jantar Std,HA-4361,JI,Y,Y,1,Hungary
F,DDA905,DG-500,F-CHJI,JI,Y,Y,1,France
F,DDE3E1,SZD-48-1 Jantar Std 2,HA-4361,JI,Y,Y,1,Hungary
F,C81E64,ASW-27,ZK-GJI,JI,Y,Y,1,New Zealand
F,DDE7E6,Ka-8,F-CEJI,JI,Y,Y,1,France
I,DDC31A,DR-300,D-EAJI,JI,Y,Y,2,Germany
I,407161,Silent 2 Electro,G-CJIB,JIB,Y,Y,1,United Kingdom
F,D00AAA,Duo Discus,OK-1969,JIM,Y,Y,1,Czech Republic
F,DDEC64,ASG-29E,SE-UJJ,JJ,Y,Y,1,Sweden
F,DD935D,ASW-15,OK-1985,JJ,Y,Y,1,Czech Republic
F,DDA8C4,ASK-13,D-2940,JJ,Y,Y,1,Germany
F,DDAB9B,DG-200,D-6218,JJ,Y,Y,1,Germany
F,DDC27C,SZD-36 Cobra 15,D-8300,JJ,Y,Y,1,Germany
F,3E622B,HK36 Super Dimona,D-KCJJ,JJ,Y,Y,1,Germany
F,DDB139,Apis 2,D-MDKW,JJ,Y,Y,1,Germany
F,484BA3,DG-500 M,PH-1305,JJ,Y,Y,1,Netherlands
F,DD8244,ASH-25,F-LEUCH,JJ,Y,Y,1,France
F,DD8774,Ventus 2ct,F-CIJJ,JJ,Y,Y,1,France
F,D015CE,JS-3 15M,LV-ESN,JJ,Y,Y,1,Argentina
F,485EB0,Discus 2cT,PH-1638,JJ,Y,Y,1,Netherlands
F,D009CB,Mini Nimbus,EC-DIK,JJ,Y,Y,1,Spain
F,DD8293,Libelle Std,D-5470,JJ,Y,Y,1,Germany
O,FD7BB7,Libelle Std,N61JJ,JJ,Y,Y,1,United States
F,3E79EF,Ventus 3M,D-KLJJ,JJ,Y,Y,1,Germany
I,405A72,Discus t,G-CJJD,JJD,Y,Y,1,United Kingdom
F,DD4EC8,ASW-19,G-CJJL,JJL,Y,Y,1,United Kingdom
I,C05D68,DG-300,C-GJJR,JJR,Y,Y,1,Canada
F,405485,ASW-15,G-CJJX,JJX,Y,Y,1,United Kingdom
F,DD8F18,Ka-8,D-5416,JJs,Y,Y,1,Germany
F,D00751,ASK-13,F-CEJK,JK,Y,Y,1,France
F,DDD2FB,LS-1 f,SP-4178,JK,Y,Y,1,Poland
